Id,Game,Developer,Publisher,Release date,Sales,Platform
NULL,Dragon Quest XI: Echoes of an Elusive Age,Square Enix,Square Enix,2017-07-29,1740000,Nintendo 3DS
NULL,Pokémon Super Mystery Dungeon,Spike Chunsoft,The Pokémon Company and Nintendo,2015-09-17,1660000,Nintendo 3DS
NULL,Kirby: Planet Robobot,HAL Laboratory,Nintendo,2016-04-28,1600000,Nintendo 3DS
NULL,Mario Tennis Open,Camelot Software Planning,Nintendo,2012-05-20,1570000,Nintendo 3DS
NULL,Puzzle & Dragons Z: Pazudora Z,GungHo Online Entertainment,GungHo Online Entertainment,2013-12-12,1500000,Nintendo 3DS
NULL,Pokémon Red / Green / Blue/Yellowd,Game Freak,Nintendo,2016-02-27,1500000,Nintendo 3DS
NULL,Style Savvy: Trendsetters,Syn Sophia,Nintendo,2012-09-27,1440000,Nintendo 3DS
NULL,Pokémon Rumble Blast,Ambrella,The Pokémon Company and Nintendo,2011-08-11,1400000,Nintendo 3DS
NULL,Pokémon Mystery Dungeon: Gates to Infinity,Spike Chunsoft,The Pokémon Company and Nintendo,2012-11-23,1380000,Nintendo 3DS
NULL,Kid Icarus: Uprising,Nintendo EPD and Grezzo,Nintendo,2012-03-22,1360000,Nintendo 3DS
NULL,The Legend of Zelda: Tri Force Heroes,Project Sora and Sora Ltd.,Nintendo,2015-10-22,1360000,Nintendo 3DS
NULL,Super Street Fighter IV: 3D Edition,Level-5,Level-5,2011-02-26,1300000,Nintendo 3DS
NULL,Yo-kai Watch 3: SushiandTempura,Dimps and Capcom,Capcom,2016-07-16,1300000,Nintendo 3DS
NULL,Dragon Quest VII: Fragments of the Forgotten Past,Heartbeat and ArtePiazza,JP:Square Enix and WW:Nintendo,2013-02-07,1230000,Nintendo 3DS
NULL,Miitopia,Nintendo EPD,Nintendo,2016-12-08,1210000,Nintendo 3DS
NULL,Mario & Luigi: Paper Jam,AlphaDream,Nintendo,2015-12-03,1070000,Nintendo 3DS
NULL,Star Fox 64 3D,Nintendo EAD and Q-Games,Nintendo,2011-07-14,1050000,Nintendo 3DS
NULL,Professor Layton and the Miracle Mask,Level-5,JP:Level-5 and WW:Nintendo,2011-02-26,1020000,Nintendo 3DS
NULL,Rhythm Heaven Megamix,Nintendo SPD,Nintendo,2015-06-11,1010000,Nintendo 3DS
NULL,Bravely Default,Mixi,Xflag,2012-10-11,1000000,Nintendo 3DS
NULL,Fantasy Life,Square Enix,Square Enix,2012-12-27,1000000,Nintendo 3DS
NULL,Monster Strike,Level-5,JP:Level-5 and WW:Nintendo,2015-12-17,1000000,Nintendo 3DS
NULL,Kingdom Hearts 3D: Dream Drop Distance,Silicon Studio,Nintendo,2012-03-29,1000000,Nintendo 3DS
NULL,Mario Kart 8 Deluxe,Nintendo EPD,Nintendo,2017-04-28,45330000,Nintendo Switch
NULL,Animal Crossing: New Horizons,Nintendo EPD,Nintendo,2020-03-20,38640000,Nintendo Switch
NULL,Super Smash Bros. Ultimate,Bandai Namco Studios and Sora Ltd.,Nintendo,2018-12-07,28170000,Nintendo Switch
NULL,The Legend of Zelda: Breath of the Wild,Nintendo EPD,Nintendo,2017-03-03,26550000,Nintendo Switch
NULL,Pokémon SwordandShield,Game Freak,The Pokémon Company and Nintendo,2019-11-15,24270000,Nintendo Switch
NULL,Super Mario Odyssey,Nintendo EPD,Nintendo,2017-10-27,23500000,Nintendo Switch
NULL,Super Mario Party,NDcube,Nintendo,2018-10-05,17780000,Nintendo Switch
NULL,Pokémon Brilliant DiamondandShining Pearl,ILCA,The Pokémon Company and Nintendo,2021-11-19,14650000,Nintendo Switch
NULL,Pokémon: Let's Go Pikachu!andLet's Go Eevee!,Game Freak,The Pokémon Company and Nintendo,2018-11-16,14530000,Nintendo Switch
NULL,Ring Fit Adventure,Nintendo EPD,Nintendo,2019-10-18,14090000,Nintendo Switch
NULL,New Super Mario Bros. U Deluxe,Nintendo EPD,Nintendo,2019-01-11,13310000,Nintendo Switch
NULL,Splatoon 2,Nintendo EPD,Nintendo,2017-07-21,13300000,Nintendo Switch
NULL,Pokémon Legends: Arceus,Game Freak,The Pokémon Company and Nintendo,2022-01-28,12640000,Nintendo Switch
NULL,Luigi's Mansion 3,Next Level Games,Nintendo,2019-10-31,11430000,Nintendo Switch
NULL,Super Mario 3D World + Bowser's Fury,Nintendo EPD,Nintendo,2021-02-12,9430000,Nintendo Switch
NULL,Super Mario 3D All-Stars,Nintendo,Nintendo,2020-09-18,9010000,Nintendo Switch
NULL,Monster Hunter Rise,Capcom,Capcom,2021-03-26,7700000,Nintendo Switch
NULL,Super Mario Maker 2,Nintendo EPD,Nintendo,2019-06-28,7150000,Nintendo Switch
NULL,Mario Party Superstars,NDcube,Nintendo,2021-10-29,6880000,Nintendo Switch
NULL,The Legend of Zelda: Link's Awakening,Grezzo,Nintendo,2019-09-20,5490000,Nintendo Switch
NULL,Clubhouse Games: 51 Worldwide Classics,NDcube,Nintendo,2020-06-05,4220000,Nintendo Switch
NULL,Hyrule Warriors: Age of Calamity,Omega Force,JP:Koei Tecmo and NA/PAL:Nintendo,2020-11-20,4000000,Nintendo Switch
NULL,The Legend of Zelda: Skyward Sword HD,Tantalus Media,Nintendo,2021-07-16,3910000,Nintendo Switch
NULL,Mario Tennis Aces,Camelot Software Planning,Nintendo,2018-06-22,3660000,Nintendo Switch
NULL,1-2-Switch,Nintendo EPD,Nintendo,2017-03-03,3450000,Nintendo Switch
NULL,Kirby Star Allies,HAL Laboratory,Nintendo,2018-03-16,3420000,Nintendo Switch
NULL,Donkey Kong Country: Tropical Freeze,Retro Studios,Nintendo,2018-05-04,3420000,Nintendo Switch
NULL,Fire Emblem: Three Houses,Intelligent Systems and Koei Tecmo,Nintendo,2019-07-26,3400000,Nintendo Switch
NULL,Among Us,Innersloth,Innersloth,2020-12-15,3200000,Nintendo Switch
NULL,Minecraft,Mojang,JP:Xbox Game Studios and NA/PAL:Mojang,2017-05-11,3140000,Nintendo Switch
NULL,Paper Mario: The Origami King,Intelligent Systems,Nintendo,2020-07-17,3120000,Nintendo Switch
NULL,Metroid Dread,MercurySteam and Nintendo EPD,Nintendo,2021-10-08,2900000,Nintendo Switch
NULL,New Pokémon Snap,Bandai Namco Studios,JP:The Pokémon Company and NA/PAL:Nintendo,2021-04-30,2740000,Nintendo Switch
NULL,Kirby and the Forgotten Land,HAL Laboratory,Nintendo,2022-03-25,2650000,Nintendo Switch
NULL,Yoshi's Crafted World,Good-Feel,Nintendo,2019-03-29,2560000,Nintendo Switch
NULL,Arms,Nintendo EPD,Nintendo,2017-06-16,2560000,Nintendo Switch
NULL,Mario Golf: Super Rush,Camelot Software Planning,Nintendo,2021-06-25,2350000,Nintendo Switch
NULL,Xenoblade Chronicles 2,Monolith Soft,Nintendo,2017-12-01,2170000,Nintendo Switch
NULL,Octopath Traveler,Square Enix and Acquire,JP:Square Enix and NA/PAL:Nintendo,2018-07-13,2080000,Nintendo Switch
NULL,Pikmin 3 Deluxe,Nintendo EPD and Eighting,Nintendo,2020-10-30,2040000,Nintendo Switch
NULL,Mario + Rabbids Kingdom Battle,Ubisoft Paris and Ubisoft Milan,NA/PAL:Ubisoft JP/KOR:Nintendo20,2017-08-29,2000000,Nintendo Switch
NULL,Captain Toad: Treasure Tracker,Nintendo EPD,Nintendo,2018-07-13,1770000,Nintendo Switch
NULL,Miitopia,Grezzo,Nintendo,2021-05-21,1680000,Nintendo Switch
NULL,Pokémon Mystery Dungeon: Rescue Team DX,Spike Chunsoft,Nintendo,2020-03-06,1600000,Nintendo Switch
NULL,Big Brain Academy: Brain vs. Brain,Nintendo EPD,Nintendo,2021-12-03,1590000,Nintendo Switch
NULL,Xenoblade Chronicles: Definitive Edition,Monolith Soft,Nintendo,2020-05-29,1520000,Nintendo Switch
NULL,Pokkén Tournament DX,Bandai Namco Studios,JP:The Pokémon Compan and NA/PAL:Nintendoy,2017-09-22,1510000,Nintendo Switch
NULL,Nintendo Labo Toy-Con 01: Variety Kit,Nintendo EPD,Nintendo,2018-04-20,1420000,Nintendo Switch
NULL,Dragon Ball FighterZ,Arc System Works,Bandai Namco Entertainment,2018-09-27,1380000,Nintendo Switch
NULL,Taiko no Tatsujin: Drum 'n' Fun!,Bandai Namco Studios,Bandai Namco Entertainment,2018-07-19,1340000,Nintendo Switch
NULL,Marvel Ultimate Alliance 3: The Black Order,Team Ninja,Nintendo,2019-07-19,1310000,Nintendo Switch
NULL,Mario Kart Live: Home Circuit,Velan Studios,Nintendo,2020-10-16,1270000,Nintendo Switch
NULL,WarioWare: Get It Together!,Nintendo EPD and Intelligent Systems,Nintendo,2021-09-10,1270000,Nintendo Switch
NULL,Dragon Ball Xenoverse 2,Dimps,Bandai Namco Entertainment,2017-09-07,1270000,Nintendo Switch
NULL,Astral Chain,PlatinumGames,Nintendo,2019-08-30,1210000,Nintendo Switch
NULL,Resident Evil Revelations Collection,Capcom,Capcom,2017-11-27,1100000,Nintendo Switch
NULL,Game Builder Garage,Nintendo EPD,Nintendo,2021-06-11,1060000,Nintendo Switch
NULL,Dr Kawashima's Brain Training for Nintendo Switch,Nintendo EPD andindieszero,Nintendo,2019-12-27,1050000,Nintendo Switch
NULL,Enter the Gungeon,Dodge Roll,Devolver Digital,2017-12-14,1000000,Nintendo Switch
NULL,Fitness Boxing,Imagineer,JP:Imagineer and NA/PAL:Nintendo,2018-12-20,1000000,Nintendo Switch
NULL,Fitness Boxing 2: Rhythm and Exercise,Imagineer,JP:Imagineer and NA/PAL:Nintendo,2020-12-04,1000000,Nintendo Switch
NULL,Shin Megami Tensei V,Atlus,JP:Atlus and NA:Sega and PAL:Nintendo,2021-11-11,1000000,Nintendo Switch
NULL,Story of Seasons: Pioneers of Olive Town,Marvelous,Xseed Games,2021-02-25,1000000,Nintendo Switch
NULL,Thief Simulator,Noble Muffins,Forever Entertainment,2019-05-19,1000000,Nintendo Switch
NULL,The Legend of Zelda: Tears of the Kingdom,Nintendo EPD,Nintendo,2023-05-12,NULL,Nintendo Switch
